Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
,,,1028,H,,1,,,,,1078,T,,1
,,,1029,H,,1,,,,,1079,T,1,
,,,1030,H,,1,,,,,1080,T,1,
,,,1031,H,,1,,,,,1081,T,,1
,,,1032,H,1,,,,,,1082,T,,1
,,,1033,H,1,,,,,,1083,T,1,
,,,1034,H,,1,,,,,1084,T,1,
,,,1035,H,,1,,,,,1085,T,,1
,,,1036,H,1,,,,,,1086,T,,1
,,,1037,H,1,,,,,,1087,T,,1
,,,1038,H,1,,,,,,1088,T,,1
,,,1039,H,,1,,,,,1089,T,,1
,,,1040,H,1,,,,,,1090,T,1,
,,,1041,H,1,,,,,,1091,T,,1
,,,1042,H,,1,,,,,1092,T,1,
,,,1043,H,1,,,,,,1093,T,1,
,,,1044,H,,1,,,,,1094,T,,1
,,,1045,H,,1,,,,,1095,T,1,
,,,1046,H,,1,,,,,1096,T,,1
,,,1047,H,,1,,,,,1097,T,1,
,,,1048,H,1,,,,,,1098,T,1,
,,,1049,H,1,,,,,,1099,T,,1
,,,1050,H,1,,,,,,1100,T,,1
,,,,,,,,,,,,,,
,9:26 PM,Janet,1101,H,,1,,,9:32pm,,1151,T,,1
,,,1102,H,,1,,,,,1152,T,1,
,,,1103,H,1,,,,,,1153,T,1,
,,,1104,H,,1,,,,,1154,T,1,
,,,1105,H,1,,,,,,1155,T,,1
,,,1106,H,,1,,,,,1156,T,,1
,,,1107,H,,1,,,,,1157,T,1,
,,,1108,H,1,,,,,,1158,T,1,
,,,1109,H,,1,,,,,1159,T,,1
,,,1110,H,,1,,,,,1160,T,,1
,,,1111,H,,1,,,,,1161,T,1,
,,,1112,H,1,,,,,,1162,T,,1
,,,1113,H,1,,,,,,1163,T,1,
,,,1114,H,1,,,,,,1164,T,,1
,,,1115,H,1,,,,,,1165,T,1,
,,,1116,H,1,,,,,,1166,T,,1
,,,1117,H,1,,,,,,1167,T,1,
,,,1118,H,,1,,,,,1168,T,1,
,,,1119,H,1,,,,,,1169,T,1,
,,,1120,H,,1,,,,,1170,T,,1
,,,1121,H,,1,,,,,1171,T,1,
,,,1122,H,1,,,,,,1172,T,1,
,,,1123,H,,1,,,,,1173,T,1,
,,,1124,H,1,,,,,,1174,T,1,
,,,1125,H,,1,,,,,1175,T,1,
,,,1126,H,,1,,,,,1176,T,,1
,,,1127,H,1,,,,,,1177,T,,1
,,,1128,H,,1,,,,,1178,T,1,
,,,1129,H,1,,,,,,1179,T,1,
,,,1130,H,,1,,,,,1180,T,,1
,,,1131,H,1,,,,,,1181,T,1,
,,,1132,H,,1,,,,,1182,T,1,
,,,1133,H,,1,,,,,1183,T,1,
,,,1134,H,1,,,,,,1184,T,,1
,,,1135,H,,1,,,,,1185,T,,1
,,,1136,H,1,,,,,,1186,T,1,
,,,1137,H,1,,,,,,1187,T,,1
,,,1138,H,1,,,,,,1188,T,,1
,,,1139,H,1,,,,,,1189,T,,1
,,,1140,H,1,,,,,,1190,T,,1
,,,1141,H,1,,,,,,1191,T,,1
,,,1142,H,,1,,,,,1192,T,1,
,,,1143,H,1,,,,,,1193,T,1,
,,,1144,H,1,,,,,,1194,T,,1
,,,1145,H,,1,,,,,1195,T,1,
,,,1146,H,,1,,,,,1196,T,,1
,,,1147,H,1,,,,,,1197,T,1,
,,,1148,H,1,,,,,,1198,T,,1
,,,1149,H,1,,,,,,1199,T,,1
,,,1150,H,1,,,,,,1200,T,1,
,,,,,,,,,,,,,,
,9:44pm,,1201,H,1,,,,9:49pm,,1251,T,1,
,,,1202,H,,1,,,,,1252,T,1,
,,,1203,H,,1,,,,,1253,T,,1
,,,1204,H,,1,,,,,1254,T,,1
,,,1205,H,,1,,,,,1255,T,1,
,,,1206,H,,1,,,,,1256,T,,1
,,,1207,H,1,,,,,,1257,T,,1
,,,1208,H,1,,,,,,1258,T,,1
,,,1209,H,,1,,,,,1259,T,,1
,,,1210,H,,1,,,,,1260,T,1,
,,,1211,H,1,,,,,,1261,T,1,
,,,1212,H,1,,,,,,1262,T,1,
,,,1213,H,1,,,,,,1263,T,1,
,,,1214,H,1,,,,,,1264,T,1,
,,,1215,H,1,,,,,,1265,T,1,
,,,1216,H,1,,,,,,1266,T,,1
,,,1217,H,1,,,,,,1267,T,1,
,,,1218,H,,1,,,,,1268,T,1,
